Nimi,Valuutta,Tietoa,Rating,Riski,Vastuullisuus (SFDR),Omistajia Nordnetissä,Kulut,Kategoria,Yläluokka,Alakategoria
East Capital New Europe A1 SEK,SEK,"The investment objective of the New Europe Sub-Fund is to provide long-term capital growth through exposure to companies in the Central & Eastern European region excluding Russia. The Sub-Fund will mainly invest in companies located in countries that have joined the European Union since 2004 and that may join in the future, but also in companies of other emerging and frontier markets of Central & Eastern Europe. The Sub-Fund will invest at least 50% of its net assets in securities of issuers domiciled in Albania, Armenia, Austria, Belarus, Bosnia-Herzegovina, Bulgaria, Croatia, Cyprus, the Czech Republic, Estonia, Georgia, Greece, Hungary, Kazakhstan, Latvia, Lithuania, Macedonia, Moldova, Montenegro, Poland, Romania, Serbia, Slovakia, Slovenia, Turkey and Ukraine. The Sub-Fund may also invest in securities of issuers not domiciled in the aforementioned countries but which exercise a significant part of their economic activity there.",3 stars,4 / 7,8,1986,"2,20%",Maantiede,Euroalue ja Eurooppa erityisryhmät,Kehittyvä Eurooppa ei-Venäjä
Jupiter Financial Innovt L USD Acc,USD,"The investment objective of the fund is to achieve capital growth in the long-term. The Fund will invest at least 70% of its Net Asset Value in a global portfolio consisting of: (i) equity and equity related securities (including preference shares, warrants, participation notices and depositary receipts) which may be issued by issuers located in any country (including Emerging Markets) and which the Investment Manager believes drive or benefit from (or have the potential to drive or benefit from) financial innovation, including but not limited to payments technology, digital financial services, mobile banking and blockchain.",3 stars,5 / 7,6,652,"1,73%",Sektori,Rahoituspalvelut,
Handelsbanken Kestävä Energia (A1 EUR),EUR,"Rahasto on aktiivisesti hoidettu osakerahasto, jonka tavoitteena on pitkällä aikavälillä saavuttaa korkea tuotto. Rahasto sijoittaa maailmanlaajuisesti sellaisten yritysten osakkeisiin, jotka kehittävät tai käyttävät teknologiaa tai metodeja, jotka rajoittavat globaalia ilmaston lämpenemistä, joko suorasti tai epäsuorasti, rajoittamalla hiilidioksiidipäästöjä ja muita kasvihuonekaasuja.",3 stars,5 / 7,9,10543,"1,51%",Sektori,Uusiutuva energia,
East Capital Balkans A1 SEK,SEK,The investment objective of the Sub-Fund is to provide long-term capital growth through exposure to companies in the Balkan region.,3 stars,4 / 7,8,2215,"2,30%",Maantiede,Euroalue ja Eurooppa erityisryhmät,Kehittyvä Eurooppa ei-Venäjä
MS INVF Global Insight A,USD,"The Fund’s investment objective is to seek long-term capital appreciation (measured in USD). The fund primarily invests (at least 70% of total net assets) in securities issued by companies on a global basis. Under normal market conditions, the fund's investment objective will be pursued by investing primarily in equities of established and emerging companies. The investment process will emphasise a bottom-up stock selection process, seeking attractive investments on an individual company basis. In selecting securities for investment, the investment manager typically invests in unique companies it believes have and sustainable competitive advantages with above average business visibility, the ability to deploy capital at high rates of return, strong balance sheets and an attractive risk/reward.",2 stars,6 / 7,8,2605,"1,84%",Tyyli,kasvuosakkeet,
DNB Fund Technology A EUR Acc,EUR,"The Sub-Fund seeks to invest mainly in equities of companies operating in or associated with the technology, media and telecom sectors, with the aim to achieve a positive relative return over the long-term. Geographically the Sub-Fund has full flexibility.",4 stars,4 / 7,8,904,"1,56%",Sektori,Teknologia,
Handelsbanken Latin Amerikka (A1 EUR),EUR,"Rahasto on aktiivisesti hoidettu osakerahasto, jonka tavoitteena on pitkällä aikavälillä saavuttaa tuotto, joka vastaa vähintään niiden markkinoiden keskimääräistä tuottoa, joille rahasto voi sijoittaa. Rahasto sijoittaa Latinalaisessa Amerikassa ja Keski-Amerikassa toimivien yritysten liikkeellelaskemiin osakkeisiin. Rahasto voi myös sijoittaa EU:n, EFTA:n, Australian, Hongkongin, Japanin, Kanadan, Singaporen ja USA:n alueella toimiviin yrityksiin, jos Latinalaisen Amerikan osuus niiden liiketoiminnasta tai markkinoista on vähintään 25 prosenttia.",3 stars,5 / 7,9,590,"1,60%",Maantiede,Kehittyvät maat,Latinalainen Amerikka
Templeton Emerging Markets A(acc)USD,USD,"Rahasto sijoittaa ensisijaisesti osakesidonnaisiin arvopapereihin ja myös velkasitoumuksiin, joiden liikkeeseenlaskijoita ovat kehittyvissä maissa tai kehitysmaissa perustetut tai niissä pääasiassa toimivat yritykset tai kyseisten maiden hallitukset. Rahasto voi sijoittaa myös yhtiöihin, joiden tuotoista tai voitoista huomattava osa kertyy kehittyvistä talouksista tai joiden liikeomaisuudesta huomattava osa sijaitsee kehittyvissä talouksissa. Rahasto voi myös sijoittaa sellaisiin liikkeeseenlaskijoiden osakesidonnaisiin arvopapereihin tai velkainstrumentteihin, jotka ovat sidoksissa kehittyvien maiden varallisuuteen tai valuuttoihin.",4 stars,4 / 7,8,137,"1,97%",Maantiede,Kehittyvät maat,Kehittyvät maat
Schroder ISF Emerging Europe A Acc EUR,EUR,"To achieve long-term capital growth through investment in equity related and debt securities benefiting from the economic growth of Central and Eastern Europe including markets of the former Soviet Union and the Mediterranean Emerging Markets. The portfolio will, to a limited extent, seek exposure to the markets of North Africa and the Middle East.",0 stars,6 / 7,8,325,"1,94%",Muut,,
Nordnet Suomi Indeksi,EUR,"Rahasto on Suomen markkinoille sijoittava osakeindeksirahasto, ja rahaston tavoitteena on jäljitellä OMX Helsinki 25 ESG Responsible Gross -indeksiä, joka sisältää vain tietyt kestävän kehityksen kriteerit täyttävät yritykset.",5 stars,4 / 7,8,295001,"0,00%",Maantiede,Kehittyneet maat – small/mid ja keskisuuret,Suomi
Allianz Global Metals and Mining A EUR,EUR,"Long-term capital growth by investing in global equity markets with a focus on natural resources. Natural resources may comprise of nonferrous metals, iron and other ores, steel, coal, precious metals, diamonds or industrial salts and minerals.",3 stars,5 / 7,6,734,"1,85%",Sektori,Luonnonvarat,
Templeton Latin America A(acc)USD,USD,"Rahasto sijoittaa ensisijaisesti osakesidonnaisiin arvopapereihin, joiden liikkeeseenlaskijoita ovat Latinalaisen Amerikan alueella perustetut tai niissä pääasiassa toimivat liikkeeseenlaskijat. Loput rahaston varat voidaan sijoittaa myös muiden kuin edellä mainitun alueen yritysten ja valtion yhteisöjen osakesidonnaisiin arvopapereihin ja velkasitoumuksiin.",3 stars,5 / 7,6,317,"2,24%",Maantiede,Kehittyvät maat,Latinalainen Amerikka
Swedbank Robur Emerging Europe A,SEK,"Emerging Europe is an actively managed equity fund that mainly invests in companies across a range of sectors in European emerging markets (excluding Russia, Belarus). Up to 20 percent of the fund's assets can also be invested in companies from other countries that at the time of investment have at least 30 percent of their assets, production, profits or turnover in the mentioned market. The fund focuses on a selection of companies, where sector, regional and thematic analyses are also key features of the strategy. Investments are made in companies that, among others, are active in communications, sustainable energy, IT, finance and healthcare. The fund complies with Swedbank Robur’s Responsible Investment Policy. Read more about policy and share classes in the fund’s Information Brochure and swedbankrobur.se. Sustainability and climate work is an integrated part in our investment strategy.",0 stars,5 / 7,8,1378,"1,44%",Maantiede,Euroalue ja Eurooppa erityisryhmät,Kehittyvä Eurooppa ei-Venäjä
Storebrand Renewable Energy A3,EUR,"Storebrand Fornybar Energi is a fossil-free equity fund that aims to achieve long term excess return by investing in a limited portion of the global stock market. The fund invests in sustainable companies that contributes to resolve the world's climate challenges, and has its primary business within solar power, wind power, hydrogen, geothermal energy, hydropower and the infrastructure needed to deploy and distribute renewable energy. The fund may also be invested in companies that contribute to reduced energy consumption. The fund invests in companies with different types of technology, services and solutions, and broadly within different parts of value chains, but will still be associated with greater risk than broad global equity funds. The fund's return may deviate significantly from the benchmark, as a result of the fund's investments being mainly directed at a limited part of the investment universe of the benchmark.",1 star,5 / 7,9,180,"1,05%",Sektori,Uusiutuva energia,
Templeton Eastern Europe A(acc)EUR,EUR,"Rahasto sijoittaa ensisijaisesti Itä-Euroopan maiden ja uusien itsenäisten valtioiden (”alue”) lakien mukaan perustettujen tai pääasiassa niissä toimivien julkisen kaupankäynnin kohteena olevien yhtiöiden noteerattuihin osakesidonnaisiin arvopapereihin. Rahasto voi myös sijoittaa edellä mainittujen valtioiden hallitusten liikkeeseen laskemiin arvopapereihin ja alueella sijaitsevien tai siellä pääasiassa toimintaa harjoittavien yhtiöiden yksityistämistodistuksiin. Rahasto sijoittaa ensisijaisesti yhtiöihin (i), joiden arvopapereiden ensisijainen kauppapaikka on alueella, mikäli ne ovat noteerattuja; tai (ii) joiden tuotoista tai voitoista vähintään 50 % kertyy alueella valmistetuista tai myydyistä tuotteista, alueelle tehdyistä sijoituksista tai siellä suoritetuista palveluista tai joiden liikeomaisuudesta vähintään 50 % sijaitsee alueella.",0 stars,5 / 7,6,372,"2,45%",Muut,,
JPM Euroland Equity A (dist) EUR,EUR,"Rahasto sijoittaa varansa osakkeisiin, jotka noteerataan nykyisellä tai tulevalla euroalueella.",4 stars,4 / 7,8,209,"1,73%",Maantiede,Kehittyneet maat – suuret yhtiöt,Euroalue suuret yhtiöt
Fidelity Latin America A-Dis-USD,USD,"Fidelity Latin America Fund on osakerahasto, joka sijoittaa latinalaisen Amerikkan maihin kuten Meksikoon, Argentiinaan, Brasiliaan ja Chileen. Lisäki rahasto sijoittaa Keski- ja Etelä-Amerikassa myös kehitysmaihin kuten Venezuelaan, Kolumbiaan ja Peruun.",3 stars,5 / 7,6,313,"1,95%",Maantiede,Kehittyvät maat,Latinalainen Amerikka
BGF World Mining A2,USD,"Rahaston tavoitteena on maksimoida sijoituksellesi saatava tuotto Rahaston pääoman kasvun ja tuoton yhdistelmällä. Rahasto sijoittaa maailmanlaajuisesti vähintään 70 % kokonaisvaroistaan sellaisten yritysten osakesidonnaisiin arvopapereihin (esim. osakkeisiin), joiden pääasiallinen liiketoiminta on perus- ja jalometallien ja/tai mineraalien kaivuu ja/tai tuotanto. Rahasto ei omista fyysistä kultaa tai metalleja. Salkunhoitaja voi käyttää rahoitusjohdannaisia (eli sijoituksia, joiden hinta perustuu yhteen tai useampaan kohde-etuuteen) apuna rahaston sijoitustavoitteen saavuttamisessa ja/tai vähentääkseen rahaston salkun riskiä ja sijoituskustannuksia sekä saadakseen aikaan lisää tuottoa. Rahasto voi johdannaisten kautta hyödyntää eritasoista vipuvaikutusta (eli Rahasto hankkii markkinoilta sijoituksia, joiden arvo ylittää sen varat).",4 stars,5 / 7,6,889,"2,06%",Sektori,Luonnonvarat,
Templeton Japan A(acc)JPY,JPY,"Rahasto sijoittaa ensisijaisesti sellaisten liikkeeseenlaskijoiden osakesidonnaisiin arvopapereihin, joiden toimipaikka tai pääasiallinen liiketoiminta on ensisijaisesti Japanissa. Rahasto voi myös etsiä sijoitusmahdollisuuksia muuntyyppisistä arvopapereista, joita ovat muun muassa etuoikeutetut osakkeet, kantaosakkeisiin vaihdettavat arvopaperit samoin kuin valtioiden ja yritysten liikkeeseen laskemat jenimääräiset tai muun valuutan määräiset velkasitoumukset.",3 stars,4 / 7,8,199,"1,84%",Maantiede,Kehittyneet maat – suuret yhtiöt,Japani suuret yhdistelmäosakkeet
BGF World Mining A2,EUR,"Rahaston tavoitteena on maksimoida sijoituksellesi saatava tuotto Rahaston pääoman kasvun ja tuoton yhdistelmällä. Rahasto sijoittaa maailmanlaajuisesti vähintään 70 % kokonaisvaroistaan sellaisten yritysten osakesidonnaisiin arvopapereihin (esim. osakkeisiin), joiden pääasiallinen liiketoiminta on perus- ja jalometallien ja/tai mineraalien kaivuu ja/tai tuotanto. Rahasto ei omista fyysistä kultaa tai metalleja. Salkunhoitaja voi käyttää rahoitusjohdannaisia (eli sijoituksia, joiden hinta perustuu yhteen tai useampaan kohde-etuuteen) apuna rahaston sijoitustavoitteen saavuttamisessa ja/tai vähentääkseen rahaston salkun riskiä ja sijoituskustannuksia sekä saadakseen aikaan lisää tuottoa. Rahasto voi johdannaisten kautta hyödyntää eritasoista vipuvaikutusta (eli Rahasto hankkii markkinoilta sijoituksia, joiden arvo ylittää sen varat).",4 stars,5 / 7,6,73,"2,06%",Sektori,Luonnonvarat,
BGF Emerging Markets Eq Inc A2,USD,"The Fund seeks an above average income from its equity investments without sacrificing long term capital growth. The Fund invests globally at least 70% of its total assets in the equity securities of companies domiciled in, or exercising the predominant part of their economic activity in, emerging markets. Investment may also be made in the equity securities of companies domiciled in, or exercising the predominant part of their economic activity in, developed markets that have significant business operations in emerging markets.",4 stars,4 / 7,6,115,"1,88%",Maantiede,Kehittyvät maat,Kehittyvät maat
SEB Finland Optimized Exposure C (EUR),EUR,"SEB Finland Optimized Exposure Fund -rahaston tavoite on saavuttaa tuoton, joka seuraa mahdollisimman tarkasti sen vertailuindeksiä, OMX Helsinki Benchmark Cap -indeksiä. Rahasto sijoittaa pääasiassa sellaisten Suomen markkinoilla toimivien yritysten osakkeisiin ja osakkeisiin liittyviin siirtokelpoisiin arvopapereihin, jotka sisältyvät rahaston vertailuindeksiin.",3 stars,4 / 7,8,518,"0,71%",Maantiede,Kehittyneet maat – small/mid ja keskisuuret,Suomi
JPM Europe Equity Plus A perf (acc) EUR,EUR,"To provide long term capital growth through exposure to European companies, by direct investments in securities of such companies and through the use of derivatives.",5 stars,4 / 7,8,523,"1,73%",Maantiede,Kehittyneet maat – suuret yhtiöt,Eurooppa suuret yhtiöt sekatyyli
UBS (Lux) ES Glb EM Markts Opp(USD) Pacc,USD,"The Sub-Fund aims to generate capital appreciation with a reasonable level of income, while giving due consideration to risk diversification and the liquidity of the Sub-Fund’s assets. The Sub-Fund seeks to invest in equities that are expected to benefit most from emerging market growth.",2 stars,4 / 7,8,64,"2,00%",Maantiede,Kehittyvät maat,Kehittyvät maat
JPM Latin America Equity A (dist) USD,USD,"Rahasto sijoittaa varansa pääasiassa sellaisten yritysten osakkeisiin, jotka sijaitsevat tai joilla on merkittäviä sijoituksia latinalaisessa Amerikassa.",4 stars,5 / 7,6,436,"1,80%",Maantiede,Kehittyvät maat,Latinalainen Amerikka
JPM Latin America Equity A (acc) USD,USD,"Rahasto sijoittaa varansa pääasiassa sellaisten yritysten osakkeisiin, jotka sijaitsevat tai joilla on merkittäviä sijoituksia latinalaisessa Amerikassa.",4 stars,5 / 7,6,165,"1,80%",Maantiede,Kehittyvät maat,Latinalainen Amerikka
Luxembourg Selection Active Solar C USD,USD,"The investment objective of the Subfund is long-term capital appreciation through investing at least two thirds of the assets in shares of companies whose primary activity is associated with the solar industry. The Subfund has sustainable investment as its objective and accordingly complies with Article 9 of Regulation (EU) 2019/2088 on sustainability-related disclosures in the financial services sector (“SFDR”). Information related to the Subfund’s sustainable investment objective is available in Annex 1 to this document (SFDR RTS Art. 18(2)). The approach adopted by the Subfund is that solar energy is one of the least polluting sources of energy. When power is generated by a solar installation, it reduces the carbon emissions, because electric power is not generated by a more polluting source of electricity.",1 star,6 / 7,9,1170,"2,20%",Sektori,Uusiutuva energia,
Fidelity Germany A-Dis-EUR,EUR,"Fidelity Germany Fund on osakerahasto, joka sijoittaa pääasiallisesti Saksassa noteerattujen yritysten osakkeisiin.",4 stars,4 / 7,8,2501,"1,92%",Maantiede,Kehittyneet maat – suuret yhtiöt,Saksa
SEB Swedish Value Fund,SEK,-,5 stars,4 / 7,8,912,"1,50%",Maantiede,Kehittyneet maat – small/mid ja keskisuuret,Ruotsi
SEB Swedish Value Fund utd,SEK,-,5 stars,4 / 7,8,67,"1,50%",Maantiede,Kehittyneet maat – small/mid ja keskisuuret,Ruotsi
Fidelity Pacific A-Dis-USD,USD,"Fidelity Pacific Fund on osakerahasto, joka sijoittaa pääasiallisesti Tyynenmeren alueen maihin.",3 stars,4 / 7,8,319,"1,94%",Maantiede,Aasia ei-Japani / Aasia-Tyynimeri,Aasia-Tyynimeri
PineBridge Latin America Equity A,USD,The Sub-Fund seeks to achieve a superior rate of return by making equity and equity-related investments in companies operating in the economies of Latin America.,3 stars,5 / 7,8,33,"2,13%",Maantiede,Kehittyvät maat,Latinalainen Amerikka
Evli Suomi Select B,EUR,"Sijoitusrahasto Evli Suomi Select on kotimainen osakerahasto. Sijoituskohteiden valinnassa keskeinen valintaperuste on osakkeen arvostus suhteessa kasvuun. Pääpaino on kohtuullisesti hinnoitelluissa yhtiöissä, joiden tuloksen ja tulevien kassavirtojen kasvu on yli keskimääräisen sekä yhtiöissä, jotka ovat vertailuryhmäänsä nähden aliarvostettuja ja joiden arvostuskertoimilla on nousumahdollisuuksia. Tämä tavoite voidaan saavuttaa aktiivisella salkunhoidolla sekä kattavalla fundamentaalianalyysilla, jota täydennetään kvantitatiivisella analyysilla. Rahaston toimialapainotukset pohjautuvat toimialojen suhdannekuvaan sekä suhteelliseen arvostukseen. Salkun koostumusta vaihdellaan markkinatilanteiden mukaan.",4 stars,4 / 7,8,1122,"1,85%",Maantiede,Kehittyneet maat – small/mid ja keskisuuret,Suomi
Fidelity Japan Value A-Acc-JPY,JPY,"The fund aims to achieve capital growth over time. The fund invests at least 70% (and normally 75%) of its assets, in equities of Japanese companies listed on the Japanese stock exchange with the focus on companies that Fidelity considers to be undervalued. The fund may also invest in money market instruments on an ancillary basis.",5 stars,4 / 7,8,408,"1,92%",Maantiede,Kehittyneet maat – suuret yhtiöt,Japani suuret yhdistelmäosakkeet
Danske Invest Europe Hgh Dvd A,EUR,"Rahasto tavoittelee markkinoiden yleisen kehityksen ylittävää tuottoa. Osuuslajin osuudet ovat kasvuosuuksia. Rahasto sijoittaa pääosin eurooppalaisiin osakkeisiin, joiden liikkeeseenlaskijoina toimivien yhtiöiden tuotteet tai palvelut ovat saavuttaneet vakiintuneen aseman ja joiden odotetaan maksavan korkeaa osinkoa. Pienen osan varoistaan rahasto voi sijoittaa itäeurooppalaisiin tai Itä-Euroopan reuna-alueiden osakkeisiin. Rahasto voi sijoittaa maihin, jotka luokitellaan kehittyviksi markkinoiksi.",4 stars,4 / 7,8,3113,"1,87%",Tyyli,osinko-osakkeet,
Invesco Greater China Equity A USD Acc,USD,"Rahaston tavoitteena on pitkän aikavälin pääomankasvu. Rahasto sijoittaa ensisijaisesti Suur-Kiinan alueella sijaitsevien yritysten osakkeisiin. Rahaston määritelmän mukaan Suur-Kiinaan kuuluvat Manner-Kiina, Hongkong, Macao ja Taiwan. Rahastoa hallinnoidaan aktiivisesti sen tavoitteiden puitteissa eikä sitä ole sidottu vertailuindeksiin.",3 stars,5 / 7,8,141,"2,03%",Maantiede,Kehittyvät maat,Suur-Kiina
Fidelity Nordic A-Dis-SEK,SEK,"Fidelity Nordic Fund on osakerahasto, joka sijoittaa pääasiallisesti Norjassa, Ruotsissa, Tanskassa ja Suomessa noteerattujen yritysten osakkeisiin.",4 stars,4 / 7,8,607,"1,93%",Maantiede,Kehittyneet maat – small/mid ja keskisuuret,Pohjoismaat small/mid
Finserve Chelverton Global Tech Fund B,EUR,Finserve Global Technology Fund is a global equity fund that invests in companies characterized by high technology content and focuses on research and development for their own or another's business. The fund focuses on benefiting from global technology trends in digitalisation and technological development.,4 stars,5 / 7,8,400,"1,50%",Sektori,Teknologia,
BNP Paribas China Eq Cl C,USD,"The investment objective of the fund is to increase the value of its assets over the medium term by investing primarily in Chinese (including Hong Kong and Taiwan) equities. At all times, this sub-fund invests at least 75% of its assets in equities and/or equity equivalent securities issued by companies that have their registered offices or conduct the majority of their business activities in China, Hong Kong or Taiwan.",3 stars,5 / 7,8,346,"2,21%",Maantiede,Aasia ei-Japani / Aasia-Tyynimeri,Kiina
Allianz China Equity A USD,USD,"Long-term capital growth by investing in Equity Markets of the PRC, Hong Kong and Macau in accordance with E/S characteristics.",3 stars,5 / 7,8,284,"2,26%",Maantiede,Aasia ei-Japani / Aasia-Tyynimeri,Kiina
Templeton BRIC A(acc)USD,USD,"Rahasto sijoittaa ensisijaisesti sellaisten liikkeeseenlaskijoiden osakkeisiin, jotka (i) on organisoitu Brasilian, Venäjän, Intian tai Kiinan (mukaan lukien Hongkong ja Taiwan) (”BRIC”) lakien mukaan tai joiden pääkonttori on näissä maissa tai (ii) jotka saavat pääosan tuloistaan tai voitoistaan BRIC-talouksista tai joiden varojen pääosa on BRIC-talouksissa. Koska sijoitustavoitteet saavutetaan kuitenkin todennäköisemmin noudattamalla joustavaa ja mukautumiskykyistä sijoituspolitiikkaa, rahasto voi hakea sijoitusmahdollisuuksia myös muunlaisista siirtokelpoisista arvopapereista kuten velkapapereista ja kiinteätuloisista arvopapereista sekä rahamarkkinainstrumenteista.",0 stars,4 / 7,6,108,"2,46%",Muut,,
Danske Invest China A,USD,Rahasto sijoittaa pääosin kiinalaisiin osakkeisiin.,3 stars,5 / 7,8,1666,"2,15%",Maantiede,Aasia ei-Japani / Aasia-Tyynimeri,Kiina
BGF World Financials A2,USD,"The Portfolio objective is to seek long-term growth of capital by investing primarily in equity securities of U.S. and foreign financial services companies. The Portfolio considers a ""financial services"" company to be the one that, in the most recent fiscal year, derived at least 50% of it´s revenues or earnings from, or devoted at least 50% of it´s assets to, financial services. Financial services include banking, mortgage lending and servicing, securities and commodities trading, investment management, insurance, providing financial guarantees, leasing, credit card servicing and lending.",4 stars,5 / 7,8,2849,"1,82%",Sektori,Rahoituspalvelut,
JPM Asia Pacific Equity A (dist) USD,USD,To provide long-term capital growth by investing primarily in companies in the Asia Pacific Basin (excluding Japan).,4 stars,4 / 7,8,182,"1,78%",Maantiede,Aasia ei-Japani / Aasia-Tyynimeri,Aasia-Tyynimeri ei-Japani
